GMU,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5 Point,6+ Point
"233
                - POGUE",0,0,0,0,0,0,0,0,0
"239
                - CHILIWIST",0,0,0,0,0,0,0,0,0
"242
                - ALTA",0,0,0,0,0,0,0,0,0
Totals,0,0,0,0,0,0,0,0,0
"243
                - MANSON",0,0,0,0,0,0,0,0,0
"244
                - CLARK",0,0,0,0,0,0,0,0,0
"245
                - CHIWAWA",0,0,0,0,0,0,0,0,0
"246
                - SLIDE RIDGE",0,0,0,0,0,0,0,0,0
"247
                - ENTIAT",0,0,0,0,0,0,0,0,0
"248
                - BIG BEND",0,0,0,0,0,0,0,0,0
"249
                - ALPINE",1,0,1,0,0,0,0,0,0
"250
                - SWAKANE",1,0,1,0,0,0,0,0,0
"251
                - MISSION",46,5,51,0,0,0,0,0,5
"254
                - SAINT ANDREWS",0,0,0,0,0,0,0,0,0
