Opportunity,Male,Female,Unknown,Total
GMU,Male,Female,Unknown,Total
621 - OLYMPIC,5,1,0,6
624 - COYLE,0,2,0,2
627 - KITSAP,0,0,0,0
633 - MASON,0,0,0,0
PMU 45 Totals,5,3,0,8
GMU,Male,Female,Unknown,Total
642 - COPALIS,0,1,0,1
648 - WYNOOCHEE,1,2,0,3
651 - SATSOP,1,3,0,4
PMU 46 Totals,2,6,0,8
GMU,Male,Female,Unknown,Total
652 - PUYALLUP,0,0,0,0
666 - DESCHUTES,0,0,0,0
PMU 47 Totals,0,0,0,0
GMU,Male,Female,Unknown,Total
653 - WHITE RIVER,0,0,0,0
654 - MASHEL,1,0,0,1
PMU 48 Totals,1,0,0,1
GMU,Male,Female,Unknown,Total
658 - NORTH RIVER,1,0,0,1
660 - MINOT PEAK,0,0,0,0
663 - CAPITOL PEAK,0,0,0,0
672 - FALL RIVER,1,1,0,2
673 - WILLIAMS CREEK,0,0,0,0
681 - BEAR RIVER,0,0,0,0
684 - LONG BEACH,0,0,0,0
699 - LONG ISLAND,0,0,0,0
PMU 49 Totals,2,1,0,3
GMU,Male,Female,Unknown,Total
667 - SKOOKUMCHUCK,1,0,0,1
PMU 50 Totals,1,0,0,1
