Method,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5+ Point,Number Hunters,Hunter Success,Hunter Days,Days/Kill
Modern Firearm,0,94,94,3,2,36,32,21,789,12%,"3,207",34
Multiple Weapons,4,17,21,0,2,6,7,2,84,25%,566,27
Muzzleloader,0,4,4,0,0,2,2,0,29,14%,99,25
Totals,6,119,125,5,4,46,41,23,n/a,n/a,n/a,n/a
Archery,144,195,339,11,7,75,79,23,"1,320",26%,"8,183",24
Modern Firearm,0,"1,279","1,279",26,20,490,544,199,"8,046",16%,"39,659",31
Multiple Weapons,19,224,243,6,11,72,96,39,759,32%,"5,564",23
Muzzleloader,0,65,65,2,6,27,19,11,382,17%,"1,520",23
Totals,163,"1,763","1,926",45,44,664,738,272,n/a,n/a,n/a,n/a
Archery,0,11,11,0,0,7,2,2,82,13%,497,45
Modern Firearm,0,69,69,0,0,36,21,12,474,15%,"1,928",28
Multiple Weapons,0,15,15,0,0,9,6,0,58,26%,360,24
Muzzleloader,0,9,9,0,2,3,4,0,49,18%,158,18
Totals,0,104,104,0,2,55,33,14,n/a,n/a,n/a,n/a
Archery,0,0,0,0,0,0,0,0,21,0%,185,0
Modern Firearm,0,11,11,0,0,2,5,4,134,8%,617,56
Multiple Weapons,0,0,0,0,0,0,0,0,13,0%,69,0
Muzzleloader,0,0,0,0,0,0,0,0,3,0%,8,0
Totals,0,11,11,0,0,2,5,4,n/a,n/a,n/a,n/a
Archery,8,11,19,0,0,5,6,0,115,17%,608,32
Modern Firearm,0,44,44,0,0,23,13,8,617,7%,"2,777",63
Multiple Weapons,5,10,15,0,0,3,4,3,96,16%,513,34
Muzzleloader,0,2,2,0,0,0,2,0,15,13%,45,23
Totals,13,67,80,0,0,31,25,11,n/a,n/a,n/a,n/a
Archery,10,2,12,0,0,0,2,0,32,38%,102,9
Modern Firearm,0,48,48,0,0,17,21,10,256,19%,"1,106",23
Multiple Weapons,0,9,9,0,0,4,5,0,26,35%,97,11
Muzzleloader,0,3,3,0,0,3,0,0,12,25%,37,12
Totals,10,62,72,0,0,24,28,10,n/a,n/a,n/a,n/a
Archery,34,12,46,0,0,3,5,4,191,24%,989,22
Modern Firearm,0,120,120,0,2,68,36,14,"1,074",11%,"5,001",42
Multiple Weapons,5,10,15,0,0,4,3,3,116,13%,567,38
Muzzleloader,0,0,0,0,0,0,0,0,18,0%,60,0
Totals,39,142,181,0,2,75,44,21,n/a,n/a,n/a,n/a
Archery,6,8,14,0,0,3,3,2,66,21%,403,29
Modern Firearm,0,71,71,0,0,53,13,5,487,15%,"1,688",24
Multiple Weapons,3,12,15,0,0,6,3,3,76,20%,455,30
Muzzleloader,0,16,16,0,0,6,8,2,67,24%,257,16
Totals,9,107,116,0,0,68,27,12,n/a,n/a,n/a,n/a
Archery,0,0,0,0,0,0,0,0,30,0%,136,0
Modern Firearm,0,2,2,0,0,0,2,0,96,2%,338,169
Multiple Weapons,0,2,2,0,0,0,0,2,19,11%,91,46
Muzzleloader,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Totals,0,4,4,0,0,0,2,2,n/a,n/a,n/a,n/a
Archery,26,36,62,0,0,20,11,5,396,16%,"2,043",33
Modern Firearm,0,82,82,0,2,56,10,14,435,19%,"1,448",18
Multiple Weapons,3,34,37,0,0,16,12,6,166,22%,808,22
Muzzleloader,0,11,11,0,0,7,2,2,25,44%,61,6
Totals,29,163,192,0,2,99,35,27,n/a,n/a,n/a,n/a
Archery,0,13,13,0,0,6,5,2,93,14%,469,36
Modern Firearm,0,141,141,0,0,61,58,22,753,19%,"2,787",20
Multiple Weapons,0,16,16,0,0,6,6,4,80,20%,501,31
Muzzleloader,0,8,8,0,0,4,2,2,56,14%,212,27
Totals,0,178,178,0,0,77,71,30,n/a,n/a,n/a,n/a
Archery,6,4,10,0,0,2,2,0,25,40%,157,16
Modern Firearm,0,37,37,0,0,20,14,3,294,13%,"1,145",31
Multiple Weapons,0,5,5,0,0,2,3,0,22,23%,104,21
Muzzleloader,0,9,9,0,0,6,3,0,42,21%,164,18
Totals,6,55,61,0,0,30,22,3,n/a,n/a,n/a,n/a
Archery,5,5,10,0,0,5,0,0,24,42%,93,9
Modern Firearm,0,44,44,0,0,32,7,5,290,15%,"1,090",25
Multiple Weapons,0,17,17,0,0,6,9,2,44,39%,201,12
Muzzleloader,0,9,9,0,0,4,5,0,58,16%,172,19
Totals,5,75,80,0,0,47,21,7,n/a,n/a,n/a,n/a
Archery,2,1,3,0,0,1,0,0,21,14%,91,30
Modern Firearm,0,53,53,0,0,39,10,4,229,23%,711,13
Multiple Weapons,0,8,8,0,0,3,5,0,20,40%,177,22
Muzzleloader,0,5,5,0,0,0,5,0,35,14%,139,28
Totals,2,67,69,0,0,43,20,4,n/a,n/a,n/a,n/a
Archery,3,3,6,0,0,3,0,0,23,26%,106,18
Modern Firearm,0,61,61,0,0,36,17,8,255,24%,877,14
Multiple Weapons,8,1,9,0,0,1,0,0,26,35%,253,28
Muzzleloader,0,2,2,0,0,0,2,0,14,14%,74,37
Totals,11,67,78,0,0,40,19,8,n/a,n/a,n/a,n/a
Archery,0,2,2,0,0,2,0,0,9,22%,44,22
Modern Firearm,0,67,67,0,0,30,34,3,304,22%,"1,012",15
Multiple Weapons,0,10,10,0,0,7,0,3,37,27%,192,19
Muzzleloader,0,7,7,0,0,2,3,2,33,21%,117,17
Totals,0,86,86,0,0,41,37,8,n/a,n/a,n/a,n/a
Archery,100,108,208,0,0,57,36,15,"1,002",21%,"5,931",29
Modern Firearm,0,850,850,0,4,473,261,112,"5,252",16%,"22,440",26
Multiple Weapons,24,149,173,0,0,67,56,26,640,27%,"4,421",26
Muzzleloader,0,81,81,0,2,35,36,8,389,21%,"1,544",19
Totals,124,"1,188","1,312",0,6,632,389,161,n/a,n/a,n/a,n/a
Archery,0,14,14,0,0,6,6,2,171,8%,"1,010",72
Modern Firearm,0,54,54,0,0,23,19,12,735,7%,"3,013",56
Multiple Weapons,0,24,24,0,0,10,4,10,117,21%,695,29
Muzzleloader,0,15,15,0,0,12,3,0,87,17%,349,23
Totals,0,107,107,0,0,51,32,24,n/a,n/a,n/a,n/a
Archery,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Modern Firearm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Multiple Weapons,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Muzzleloader,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Totals,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
Archery,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Modern Firearm,0,2,2,0,0,0,2,0,7,29%,26,13
Multiple Weapons,0,0,0,0,0,0,0,0,2,0%,2,0
Muzzleloader,0,2,2,0,0,2,0,0,2,100%,3,2
Totals,0,4,4,0,0,2,2,0,n/a,n/a,n/a,n/a
Archery,10,5,15,0,0,0,2,3,43,35%,175,12
Modern Firearm,0,27,27,0,0,9,13,5,289,9%,"1,008",37
Multiple Weapons,0,10,10,0,0,2,4,4,26,38%,134,13
Muzzleloader,6,7,13,0,0,7,0,0,25,52%,68,5
Totals,16,49,65,0,0,18,19,12,n/a,n/a,n/a,n/a
Archery,0,9,9,0,0,4,0,5,140,6%,758,84
Modern Firearm,0,167,167,0,0,58,66,43,"1,153",14%,"5,091",30
Multiple Weapons,0,49,49,0,0,12,18,19,178,28%,"1,098",22
Muzzleloader,0,11,11,0,0,0,3,8,48,23%,178,16
Totals,0,236,236,0,0,74,87,75,n/a,n/a,n/a,n/a
Archery,0,12,12,0,0,6,2,4,177,7%,940,78
Modern Firearm,0,18,18,0,0,7,5,6,408,4%,"1,763",98
Multiple Weapons,0,9,9,0,0,3,4,2,65,14%,418,46
Muzzleloader,0,2,2,0,0,2,0,0,31,6%,139,70
Totals,0,41,41,0,0,18,11,12,n/a,n/a,n/a,n/a
Archery,0,6,6,0,0,6,0,0,135,4%,961,160
Modern Firearm,0,38,38,0,0,25,11,2,699,5%,"3,330",88
Multiple Weapons,0,11,11,0,0,5,3,3,126,9%,573,52
Muzzleloader,0,11,11,0,0,6,3,2,97,11%,374,34
Totals,0,66,66,0,0,42,17,7,n/a,n/a,n/a,n/a
Archery,0,10,10,0,0,6,2,2,101,10%,607,61
Modern Firearm,0,39,39,0,0,22,12,5,582,7%,"2,227",57
Multiple Weapons,0,12,12,0,0,9,0,3,94,13%,634,53
Muzzleloader,0,14,14,0,0,9,3,2,107,13%,373,27
Totals,0,75,75,0,0,46,17,12,n/a,n/a,n/a,n/a
Archery,0,8,8,0,0,2,3,3,79,10%,359,45
Modern Firearm,0,34,34,0,0,18,10,6,569,6%,"2,559",75
Multiple Weapons,0,2,2,0,0,0,2,0,24,8%,157,79
Muzzleloader,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Totals,0,44,44,0,0,20,15,9,n/a,n/a,n/a,n/a
Archery,0,9,9,0,0,6,3,0,166,5%,"1,100",122
Modern Firearm,0,14,14,0,0,5,7,2,260,5%,994,71
Multiple Weapons,0,10,10,0,0,1,9,0,46,22%,246,25
Muzzleloader,0,0,0,0,0,0,0,0,25,0%,108,0
Totals,0,33,33,0,0,12,19,2,n/a,n/a,n/a,n/a
Archery,0,2,2,0,0,2,0,0,44,5%,206,103
Modern Firearm,0,2,2,0,0,0,2,0,145,1%,633,317
Multiple Weapons,0,0,0,0,0,0,0,0,39,0%,158,0
Muzzleloader,0,0,0,0,0,0,0,0,18,0%,75,0
